Time [ms], Peak Frequency [Hz]
0,15000
5,15017.9784103653
10,15071.6550628699
15,15160.2579408052
20,15282.5126930518
25,15436.6609627258
30,15620.4856771478
35,15831.3429353967
40,16066.2000348189
45,16321.6790895657
50,16594.1056138083
55,16879.5613708691
60,17173.9407281546
65,17473.0097073543
70,17772.4668805997
75,18068.0052367327
80,18355.3741278772
85,18630.4404053523
90,18889.2478656265
95,19128.0741513189
100,19343.4842888531
105,19532.3800927497
110,19692.0447259857
115,19820.1817755233
120,19914.9482809949
125,19974.9812415011
130,19999.4172192823
135,19987.9047583096
140,19940.609439181
145,19858.2114976212
150,19741.8960408354
155,19593.3360024347
160,19414.6680810866
165,19208.4620089583
170,18977.6835919576
175,18725.6520533518
180,18455.9922942817
185,18172.5827577935
190,17879.4996462459
195,17580.9582943993
200,17281.2525414014
205,16984.6929736651
210,16695.5449268757
215,16417.9671388264
220,16155.9519354226
225,15913.2678101434
230,15693.4052228235
235,15499.526397318
240,15334.4198400957
245,15200.4602339084
250,15099.5742833741
255,15033.2130037078
260,15002.330851164
265,15007.371995352
270,15048.2639308645
275,15124.4185201037
280,15234.7404523044
285,15377.6429970911
290,15551.0708259898
295,15752.5295736592
300,15979.1217136694
305,16227.5882328375
310,16494.3555047286
315,16775.5866881538
320,17067.2369114145
325,17365.1114485934
330,17664.9260511568
335,17962.3685671382
340,18253.1609616475
345,18533.1208466851
350,18798.2216352917
355,19044.6504548548
360,19268.8629866192
365,19467.6344426608
370,19638.1059471351
375,19777.8256547117
380,19884.7840147994
385,19957.4426743665
390,19994.7566036544
395,19996.1891265565
400,19961.7196394853
405,19891.8439077077
410,19787.5669348879
415,19650.3885083933
420,19482.2816282597
425,19285.664130068
430,19063.3639098723
435,18818.578251339
440,18554.8278400846
445,18275.9061266112
450,17985.8247661383
455,17688.7559200565
460,17388.9722488629
465,17090.7854596469
470,16798.484291978
475,16516.2728341303
480,16248.210056823
485,15998.1514341475
490,15769.6934913307
495,15566.1220768905
500,15390.3651031688
505,15244.9504349641
510,15131.9695319388
515,15053.0473677236
520,15009.3190583624
525,15001.4135362475
530,15029.4445043555
535,15093.0088008883
540,15191.1921978398
545,15322.5825500889
550,15485.2901058989
555,15676.9746867035
560,15894.8793452591
565,16135.8700180682
570,16396.4806017627
575,16672.9628051274
580,16961.3400597535
585,17257.4647139421
590,17557.0776872513
595,17855.8697276933
600,18149.5433905344
605,18433.8748472754
610,18704.7746358291
615,18958.3464781422
620,19190.9433193042
625,19399.2197821471
630,19580.180282896
635,19731.2221158371
640,19850.1728873264
645,19935.3217607374
650,19985.4440629595
655,19999.8188985385
660,19978.2395181199
665,19921.016292069
670,19828.9722464981
675,19703.4312259056
680,19546.1988526802
685,19359.5365573248
690,19146.1290529158
695,18909.0457216047
700,18651.6964685284
705,18377.7826780701
710,18091.2439778535
715,17796.2015761489
720,17496.8989876549
725,17197.6410001788
730,16902.7317600439
735,16616.4128667219
740,16342.8023670604
745,16085.8355265339
750,15849.2082293898
755,15636.3238217495
760,15450.2441622058
765,15293.6455839426
770,15168.7804017619
775,15077.4445176524
780,15020.9515908184
785,15000.114143677
790,15015.2318755688
795,15066.0873522635
800,15151.9491332578
805,15271.5822918849
810,15423.2661769294
815,15604.8191602866
820,15813.630014726
825,16046.6954704639
830,16300.663410376
835,16571.8810825877
840,16856.4476370114
845,17150.2702302138
850,17449.1228916708
855,17748.7073047532
860,18044.714628247
865,18332.8874692459
870,18609.0811160766
875,18869.3231505607
880,19109.8705822259
885,19327.2636827213
890,19518.3757461498
895,19680.4580596297
900,19811.1794372853
905,19908.6597490597
910,19971.4969621149
915,19998.7873058888
920,19990.138270782
925,19945.6742535163
930,19866.0347679709
935,19752.3652472277
940,19606.3005691187
945,19429.9415422222
950,19225.8246905039
955,18996.8857711821
960,18746.4175505288
965,18478.0224449075
970,18195.5607081974
975,17903.0949108105
980,17604.8315088454
985,17305.0603437721
990,17008.0929428077
995,16718.200507392
1000,16439.5524816575
1005,16176.1565844475
1010,15931.801167385
1015,15710.0007280401
1020,15513.9453618673
1025,15346.4548799282
1030,15209.9382523164
1035,15106.3589605939
1040,15037.2067575705
1045,15003.476240593
1050,15005.6525465222
1055,15043.7043741413
1060,15117.0844343526
