Time [ms], Peak Frequency [Hz]
0,13625.9563388785
5,13457.3977055244
10,13303.5750237232
15,13166.0872776156
20,13046.3636499658
25,12945.6486658311
30,12864.9892557454
35,12805.2238728939
40,12766.973777407
45,12750.6365783716
50,12756.3821006918
55,12784.1506197613
60,12833.6534823006
65,12904.3761069019
70,12995.5833330948
75,13106.3270633264
80,13235.4561184189
85,13381.6282040582
90,13543.3238639193
95,13718.8622743896
100,13906.418716701
105,14104.0435448505
110,14309.6824521368
115,14521.1978256434
120,14736.3909666882
125,14953.0249462584
130,15168.8478578496
135,15381.6162259951
140,15589.118327155
145,15789.1971805444
150,15979.7729699116
155,16158.8646631929
160,16324.6106053061
165,16475.287870024
170,16609.3301697625
175,16725.3441371134
180,16822.1238088745
185,16898.6631620167
190,16954.1665712761
195,16988.0570796647
200,16999.9823959288
205,16989.8185566101
210,16957.6712146442
215,16903.8745410998
220,16828.9877514762
225,16733.7892926681
230,16619.2687510231
235,16486.6165656085
240,16337.2116536181
245,16172.6070765512
250,15994.5138961649
255,15804.7833880169
260,15605.3877974873
265,15398.3998383218
270,15185.9711468083
275,14970.3099155539
280,14753.6579393609
285,14538.2673118085
290,14326.377014778
295,14120.1896442754
300,13921.8485144828
305,13733.4153780448
310,13556.8489941849
315,13393.9847674368
320,13246.5156686461
325,13115.974636567
330,13003.7186429905
335,12910.9145870457
340,12838.5271653035
345,12787.308843772
350,12757.7920360258
355,12750.2835687754
360,12764.8614924092
365,12801.3742696609
370,12859.4423508368
375,12938.4621192283
380,13037.6121656976
385,13155.8618272109
390,13291.9819005638
395,13444.5574199268
400,13612.0023653914
405,13792.5761496195
410,13984.4017112192
415,14185.4850267656
420,14393.7358386402
425,14606.9893832231
430,14823.0288935737
435,15039.6086426847
440,15254.4772877765
445,15465.4012729662
450,15670.1880470431
455,15866.7088550008
460,16052.920866409
465,16226.8884106009
470,16386.8030979364
475,16531.0026179817
480,16657.9880191976
485,16766.4392905149
490,16855.2290828273
495,16923.4344277655
500,16970.346331938
505,16995.4771469049
510,16998.5656382755
515,16979.5797012349
520,16938.7166942732
525,16876.4013876473
530,16793.2815479016
535,16690.2212043455
540,16568.2916674837
545,16428.760392762
550,16273.0778053896
555,16102.8622231937
560,15919.8830342337
565,15726.0423040425
570,15523.3550036879
575,15313.9280641831
580,15099.9384749744
585,14883.6106541739
590,14667.1933257709
595,14452.9361441846
600,14243.0663091451
605,14039.7654139906
610,13845.1467680414
615,13661.2334287863
620,13489.9371722346
625,13333.0386200371
630,13192.1687299546
635,13068.7918420798
640,12964.1904570476
645,12879.4519044624
650,12815.457040126
655,12772.8710895561
660,12752.1367329791
665,12753.4695036761
670,12776.8555475186
675,12822.0517669818
680,12888.5883481389
685,12975.7736443693
690,13082.7013660131
695,13208.2600012365
700,13351.1443701786
705,13509.8691922733
710,13682.7845257154
715,13868.0929185778
720,14063.8680932928
725,14268.0749702749
730,14478.5908225381
735,14693.2273414064
740,14909.7533839452
745,15125.9181656536
750,15339.4746573308
755,15548.2029429062
760,15749.9332954292
765,15942.5687313428
770,16124.1068085926
775,16292.6604419772
780,16446.4775193667
785,16583.959114878
790,16703.6761096823
795,16804.3840476707
800,16885.0360715538
805,16944.7938049258
810,16983.0360671726
815,16999.3653306337
820,16993.6118528952
825,16965.8354412596
830,16916.3248310497
835,16845.5946842101
840,16754.3802394049
845,16643.6296692243
850,16514.494223947
855,16368.3162643133
860,16206.615307708
865,16031.0722328035
870,15843.5118068544
875,15645.8837172737
880,15440.2423046652
885,15228.7252079882
890,15013.5311438371
895,14796.8970508202
900,14581.0748366214
905,14368.307969458
910,14160.8081572671
915,13960.7323570399
920,13770.1603532904
925,13591.0731387312
930,13425.3323218879
935,13274.6607757107
940,13140.6247283396
945,13024.6174821897
950,12927.8449305962
955,12851.3130225742
960,12795.8173059958
965,12761.9346578837
970,12750.0172877842
975,12760.1890765553
980,12792.3442886269
985,12846.1486711208
990,12921.0429284032
995,13016.2485359533
1000,13130.7758331126
1005,13263.43431059
1010,13412.844985786
1015,13577.4547372929
1020,13755.5524495653
1025,13945.2867999367
1030,14144.6855030872
1035,14351.6758129153
1040,14564.1060686981
1045,14779.7680615679
1050,14996.4199888055
1055,15211.8097573406
1060,15423.6983942212
1065,15629.8833206988
1070,15828.2212479966
1075,16016.6504567601
1080,16193.2122285938
1085,16356.071206906
1090,16503.5344754084
1095,16634.0691559526
1100,16746.3183427718
1105,16839.1152074929
1110,16911.4951282977
1115,16962.7057171501
1120,16992.2146408568
1125,16999.7151546615
1130,16985.1292908519
1135,16948.6086692323
1140,16890.5329210384
1145,16811.5057426772
1150,16712.3486203133
1155,16594.092290534
1160,16457.9660258605
1165,16305.3848564808
1170,16137.9348610352
1175,15957.3566793563
1180,15765.5274185475
1185,15564.4411404869
1190,15356.1881335881
1195,15142.9331842885
1200,14926.8930741306
1205,14710.3135363566
1210,14495.4459115494
1215,14284.5237449859
1220,14079.7395689724
1225,13883.2221115083
1230,13697.0141681957
1235,13523.0513674136
1240,13363.1420494943
1245,13218.9484690568
1250,13091.9695158982
1255,12983.52513406
1260,12894.7426010327
1265,12826.5448097253
1270,12779.6406750096
1275,12754.517764562
1280,12751.437230606
1285,12770.4310952392
1290,12811.3019175643
1295,12873.6248460839
1300,12956.7520350241
1305,13059.8193786808
1310,13181.7554937833
1315,13321.2928565051
1320,13476.9809783524
1325,13647.2014839673
1330,13830.1849341114
1335,14024.0292189569
1340,14226.7193304854
1345,14436.1483084617
1350,14650.1391422495
1355,14866.4674007995
1360,15082.8843555719
1365,15297.1403560313
1370,15507.0082147254
1375,15710.3063588603
1380,15904.9215077123
1385,16088.8306401448
1390,16260.1220238785
1395,16417.0150879155
1400,16557.8789315442
1405,16681.2492775247
1410,16785.8436932251
1415,16870.574921487
