Time [ms], Peak Frequency [Hz]
0,14127.0474128144
5,14023.4332715065
10,13946.4552308877
15,13897.0607639789
20,13875.8578353943
25,13883.1074182979
30,13918.7202822524
35,13982.2580914997
40,14072.9388001527
45,14189.646277893
50,14330.9440476993
55,14495.0929665156
60,14680.0726312406
65,14883.6062465656
70,15103.1886485787
75,15336.1171392102
80,15579.5247519993
85,15830.4155397334
90,16085.7014496294
95,16342.240332182
100,16596.8746158539
105,16846.4701715865
110,17087.9548887713
115,17318.3564878768
120,17534.8391043192
125,17734.7381932888
130,17915.5933259127
135,18075.1784730862
140,18211.5294042276
145,18322.9678637253
150,18408.122227503
155,18465.9443854547
160,18495.7226419564
165,18497.0904756674
170,18470.0310508052
175,18414.8774243667
180,18332.3084467439
185,18223.3404061929
190,18089.3145199979
195,17931.8804262926
200,17752.9758797298
205,17554.8029009094
210,17339.8006731285
215,17110.6155200481
220,16870.068333803
225,16621.1198544615
230,16366.8342281864
235,16110.3412926374
240,15854.7980538197
245,15603.3498285343
250,15359.0915307034
255,15125.0295780727
260,14904.0448881552
265,14698.8574188774
270,14511.9926903722
275,14345.7506999816
280,14202.1776130742
285,14083.0405781157
290,13989.8059759793
295,13923.6213712097
300,13885.3013873921
305,13875.3176804758
310,13893.7931334659
315,13940.5003439354
320,14014.8644229751
325,14115.9700711302
330,14242.5728442303
335,14393.1144704497
340,14565.7420300698
345,14758.3307618716
350,14968.5102154508
355,15193.6934275613
360,15431.1087633769
365,15677.834030755
370,15930.8324476141
375,16186.9900197242
380,16443.1538688524
385,16696.1710395059
390,16942.9273066265
395,17180.3855065768
400,17405.6229196273
405,17615.8672438273
410,17808.5307174802
415,17981.2419702324
420,18131.8752107403
425,18258.5763916639
430,18359.7860299393
435,18434.2584014488
440,18481.0768738355
445,18499.665188739
450,18489.7945545879
455,18451.5864626475
460,18385.5111916624
465,18292.3820194986
470,18173.3452130314
475,18029.8659194862
480,17863.7101328869
485,17676.9229575749
490,17471.8034363403
495,17250.8762529873
500,17016.8606576311
505,16772.6369972031
510,16521.2112631195
515,16265.6780924728
520,16009.1826781413
525,15754.8820566401
530,15505.9062501953
535,15265.3197413215
540,15036.0837540838
545,14821.0198063019
550,14622.7749813084
555,14443.7893467085
560,14286.2659211626
565,14152.1435588512
570,14043.0730853706
575,13960.3969787855
580,13905.1328459335
585,13877.9608973586
590,13879.2155750394
595,13908.8814359581
600,13966.5933421787
605,14051.6409550944
610,14162.9774785268
615,14299.2325430648
620,14458.729073057
625,14639.5039286534
630,14839.3320688273
635,15055.7539379689
640,15286.1057389677
645,15527.5522201728
650,15777.1215726744
655,16031.742008383
660,16288.2795686854
665,16543.5766983191
670,16794.4911096825
675,17037.9344592241
680,17270.910359871
685,17490.5512616229
690,17694.1537463748
695,17879.2118025453
700,18043.447669956
705,18184.8398753115
710,18301.6481132096
715,18392.4346664371
720,18456.0821019033
725,18491.8070244026
730,18499.1697189205
735,18478.079562802
740,18428.7961411674
745,18351.9260518465
750,18248.4154391573
755,18119.5383484264
760,17966.8810445874
765,17792.3224878694
770,17598.0112068883
775,17386.3388537947
780,17159.9107669711
785,16921.5139036033
790,16674.0825368229
795,16420.6621396334
800,16164.3719001482
805,15908.3663295174
810,15655.7964350858
815,15409.7709366773
820,15173.318003369
825,14949.3479817119
830,14740.6175741542
835,14549.6959085694
840,14378.9329165199
845,14230.4304094657
850,14106.0162089238
855,14007.2216489926
860,13935.2627281491
865,13891.0251423082
870,13875.0533833635
875,13887.5440373877
880,13928.3433649819
885,13996.9491935541
890,14092.5170982384
895,14213.8707953746
900,14359.5166206254
905,14527.6619135265
910,14716.2370821874
915,14922.9210765618
920,15145.1699567554
925,15380.2482047394
930,15625.2623940773
935,15877.1968032426
940,16132.9505341895
945,16389.3756793053
950,16643.3160669735
955,16891.6461088535
960,17131.3092707301
965,17359.3556934205
970,17572.9785006873
975,17769.5483472662
980,17946.6457817805
985,18102.091026206
990,18233.9708053522
995,18340.6618961318
1000,18420.851106766
1005,18473.5514400146
1010,18498.1142414881
1015,18494.2371835157
1020,18461.9679863019
1025,18401.7038305688
1030,18314.1864689153
1035,18200.493096063
1040,18062.0230903615
1045,17900.4807897435
1050,17717.8545141292
