Time [ms], Peak Frequency [Hz]
0,13259.4082239846
5,13083.005338598
10,12910.7466143416
15,12744.1208434104
20,12584.5681336902
25,12433.4674622399
30,12292.124757112
35,12161.7616105196
40,12043.5047208985
45,11938.3761551135
50,11847.2845149722
55,11771.0170843897
60,11710.2330250768
65,11665.4576795582
70,11637.0780307585
75,11625.3393573992
80,11630.343114111
85,11652.0460545855
90,11690.2606053425
95,11744.6564868844
100,11814.7635682254
105,11899.9759301241
110,11999.5571019033
115,12112.6464265951
120,12238.2664993996
125,12375.3316151675
130,12522.6571518983
135,12678.9698091531
140,12842.918612895
145,13013.0865916445
150,13188.003023035
155,13366.1561449255
160,13546.0062212095
165,13725.9988493976
170,13904.5783949571
175,14080.2014363009
180,14251.3501042218
185,14416.5452004844
190,14574.3589821919
195,14723.4275014371
200,14862.4623935875
205,14990.2620123223
210,15105.7218151822
215,15207.8439098744
220,15295.7456788237
225,15368.6674074317
230,15425.9788501136
235,15467.1846773648
240,15491.9287567789
245,15499.9972310175
250,15491.3203661293
255,15465.9731542448
260,15424.1746654365
265,15366.2861543472
270,15292.8079379498
275,15204.375071424
280,15101.7518595213
285,14985.8252508568
290,14857.5971722177
295,14718.1758691425
300,14568.7663276123
305,14410.659859636
310,14245.2229427403
315,14073.8854098217
320,13898.128091432
325,13719.4700173036
330,13539.4552877279
335,13359.6397282548
340,13181.5774430529
345,13006.8073831481
350,12836.8400456269
355,12673.1444187601
360,12517.1352858782
365,12370.1609977275
370,12233.4918189867
375,12108.3089496646
380,11995.6943162621
385,11896.6212209325
390,11811.9459294568
395,11742.400270737
400,11688.5853117691
405,11650.9661627598
410,11629.8679572876
415,11625.4730422482
420,11637.8194018729
425,11666.8003294393
430,11712.1653495133
435,11773.5223827496
440,11850.341134543
445,11941.9576782413
450,12047.5801933096
455,12166.2958088515
460,12297.0784933402
465,12438.7979223713
470,12590.2292477944
475,12750.0636837914
480,12916.9198184086
485,13089.3555527802
490,13265.8805648538
495,13444.9691898987
500,13625.0736064717
505,13804.6372138791
510,13982.1080855155
515,14155.9523818052
520,14324.6676068221
525,14486.795594013
530,14640.9351087936
535,14785.7539590933
540,14920.0005091825
545,15042.5144972701
550,15152.2370633765
555,15248.2199008152
560,15329.6334521872
565,15395.7740790537
570,15446.0701433192
575,15480.0869477674
580,15497.5304930484
585,15498.2500186467
590,15482.2393058694
595,15449.6367315931
600,15400.7240723045
605,15335.9240687714
610,15255.7967723929
615,15161.0347048043
620,15052.4568725739
625,14931.0016887189
630,14797.7188622194
635,14653.7603256273
640,14500.3702791802
645,14338.8744374678
650,14170.6685715878
655,13997.2064458204
660,13819.9872530805
665,13640.5426577415
670,13460.4235578152
675,13281.1866809
680,13104.3811297456
685,12931.5349937171
690,12764.142141873
695,12603.6493118017
700,12451.4436058042
705,12308.8405024901
710,12177.0724874018
715,12057.2784009275
720,11950.493595568
725,11857.6409876251
730,11779.5230806503
735,11716.8150295926
740,11670.0588055909
745,11639.6585118432
750,11625.8768910365
755,11628.8330545223
760,11648.5014528656
765,11684.7120966618
770,11737.1520257164
775,11805.368013887
780,11888.7704862121
785,11986.63861447
790,12098.1265471308
795,12222.2707198543
800,12357.9981833533
805,12504.1358766455
810,12659.4207655473
815,12822.5107587853
820,12991.99630738
825,13166.4125870503
830,13344.2521583504
835,13523.977995119
840,13704.0367686399
845,13882.8722727016
850,14058.9388735271
855,14230.7148683276
860,14396.7156370267
865,14555.506473488
870,14705.7149853464
875,14846.0429552778
880,14975.27756119
885,15092.3018583626
890,15196.1044329413
895,15285.788143353
900,15360.5778740926
905,15419.8272348662
910,15463.0241471928
915,15489.7952701794
920,15499.9092272203
925,15493.2786057308
930,15469.9607126343
935,15430.1570790719
940,15374.2117186151
945,15302.6081540368
950,15215.9652383358
955,15115.0318061339
960,15000.6802016722
965,14873.8987393418
970,14735.7831619122
975,14587.5271702805
980,14430.4121065914
985,14265.7958798945
990,14095.1012300511
995,13919.8034313238
1000,13741.4175419232
1005,13561.4853097112
1010,13381.561847232
1015,13203.202191235
1020,13027.9478628529
1025,12857.3135445922
1030,12692.7739892835
1035,12535.7512741353
1040,12387.6025100501
1045,12249.6081124297
1050,12122.9607348422
1055,12008.7549611938
1060,11907.9778454939
1065,11821.5003809761
1070,11750.0699723061
1075,11694.3039759365
1080,11654.6843644376
1085,11631.5535609213
1090,11625.1114795566
1095,11635.4137977584
1100,11662.3714749804
1105,11705.7515222715
1110,11765.1790159461
1115,11840.1403379615
1120,11929.9876150005
1125,12033.9443178894
1130,12151.11197296
1135,12280.4779273489
1140,12420.9241011212
1145,12571.2366505764
1150,12730.1164592174
1155,12896.1903657136
1160,13068.0230318151
1165,13244.129347649
1170,13422.9872671787
1175,13603.0509628955
1180,13782.7641860465
1185,13960.5737169322
1190,14134.9427890236
1195,14304.3643708788
1200,14467.3741910667
1205,14622.5633935248
